judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Null,More,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,More,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,More,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,e
Exist,when,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Why,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,e
Null,who,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,More,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,what,Null,Null,Exist,Null,Null,Null,Exist,Null,Null,Null,e
Null,what,Exist,Null,Exist,Exist,Null,More,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Exist,Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,More,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Why,Null,Null,Exist,Null,Null,Exist,Null,Exist,Null,Null,e
Null,what,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,More,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,What,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,e
Exist,how,Null,Null,Null,More,Null,Null,Null,Null,Null,Null,More,Null,Exist,Null,Null,Null,Null,Exist,Exist,Null,Null,e
Exist,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Exist,Exist,Null,Null,Null,e
Null,More,Null,Null,Exist,More,Null,Null,Exist,Null,Null,Null,More,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,what,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Why,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Exist,Exist,Null,Exist,Null,Null,Null,Null,Null,who,Null,Exist,Null,Null,Null,Null,Null,Null,Exist,Null,e
Exist,More,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,Null,Null,e
